"PSY_ORD_NO","CLASS_CODE","USE_YN","REG_MEMBER_NO","REG_DATE"
P250925152057a53f146,LC1069202540118CF,Y,M10000186,"2025-09-25 15:20:57"
P250925152057a53f146,LC10692025402E00B,Y,M10000186,"2025-09-25 15:20:57"
P250925152057a53f146,LC10692025403B279,Y,M10000186,"2025-09-25 15:20:57"
P250925152057a53f146,LC10692025501EF92,Y,M10000186,"2025-09-25 15:20:57"
P250925152057a53f146,LC1069202550208A1,Y,M10000186,"2025-09-25 15:20:57"
P250925152057a53f146,LC106920255037594,Y,M10000186,"2025-09-25 15:20:57"
P250925152057a53f146,LC10692025601B047,Y,M10000186,"2025-09-25 15:20:57"
P250925152057a53f146,LC106920256024E4E,Y,M10000186,"2025-09-25 15:20:57"
P250925152057a53f146,LC106920256034F62,Y,M10000186,"2025-09-25 15:20:57"
P2509251620382343df1,M1000021320252038A86,Y,M10000213,"2025-09-25 16:20:38"
P25092608440822aa52c,M1000021520254044918,Y,M10000215,"2025-09-26 08:44:08"
P250926100019e5ba939,M1000021620255021708,Y,M10000216,"2025-09-26 10:00:19"
P250926105010cd33828,M100002172025505A996,Y,M10000217,"2025-09-26 10:50:10"
P2509261143025650014,AC000120254041DD8,Y,M10000001,"2025-09-26 11:43:02"
P250926115454ee11ea2,M100002182025501D6B4,Y,M10000218,"2025-09-26 11:54:54"
P250926115919c36acca,AC035020252044A96,Y,M10000214,"2025-09-26 11:59:19"
P250926115919c36acca,AC035020255017E04,Y,M10000214,"2025-09-26 11:59:19"
P250926115919c36acca,AC03502025502AE32,Y,M10000214,"2025-09-26 11:59:19"
P250926115919c36acca,AC035020255032C62,Y,M10000214,"2025-09-26 11:59:19"
P250926115919c36acca,AC035020255040D0F,Y,M10000214,"2025-09-26 11:59:19"
P250926115919c36acca,AC03502025505D936,Y,M10000214,"2025-09-26 11:59:19"
P250926115919c36acca,AC0350202550646AA,Y,M10000214,"2025-09-26 11:59:19"
P250926115919c36acca,AC0350202550713B4,Y,M10000214,"2025-09-26 11:59:19"
P250926115919c36acca,AC035020255087B79,Y,M10000214,"2025-09-26 11:59:19"
P250926124019d9e3049,M1000022020255078839,Y,M10000220,"2025-09-26 12:40:19"
P2509261246530a4df7b,M100002192025501805B,Y,M10000219,"2025-09-26 12:46:53"
P250929091315643d88f,M1000022620255058B20,Y,M10000226,"2025-09-29 09:13:15"
P250929093824250c48a,M10000227202560311ED,Y,M10000227,"2025-09-29 09:38:24"
P2509291831457000d9a,M100002302025501C2DA,Y,M10000230,"2025-09-29 18:31:45"
P2509292257318147276,M100001782025602859B,Y,M10000178,"2025-09-29 22:57:31"
P25093008553254a21ce,EC00432025402A6C8,Y,M10000207,"2025-09-30 08:55:32"
P25093009223095e0ccd,M1000023120253024074,Y,M10000231,"2025-09-30 09:22:30"
P250930101517c17870e,M1000023220254029067,Y,M10000232,"2025-09-30 10:15:17"
P250930115838498ed56,EC0043202540104DE,Y,M10000207,"2025-09-30 11:58:38"
