"CLASS_CODE","SCHOOL_CODE","MEMBER_NO","MEMBER_NAME","MEMBER_CELLPHONE_NUM","CLASS_NAME","SCHOOL_DATE","SCHOOL_GRADE","SCHOOL_NUM","USE_YN","MEMO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
LC10692025402E00B,LC1069,"",F440799CDFDAF2841DA43862C4B5B0F2,"7B361D291F0E8B1836FF5B827CC30383","","2025","4","2",Y,,M10000186,"2025-09-25 15:20:24",,
LC10692025403B279,LC1069,"","4EB893DD066DC360430918E3CF828F79","8B949F5AAB810EC224A4E1955414EAB6","","2025","4","3",Y,,M10000186,"2025-09-25 15:20:24",,
LC10692025501EF92,LC1069,"","1220597BFC48DB1123A55CEEC6D3CA90","574F87B5CF72143CCA0C918A15FB728F","","2025","5","1",Y,,M10000186,"2025-09-25 15:20:24",,
LC1069202550208A1,LC1069,"","33E55AE89A1FFF78F93866018FC3A7D3","955B947C920BAE8C466C06F9F4767F32","","2025","5","2",Y,,M10000186,"2025-09-25 15:20:24",,
LC106920255037594,LC1069,"","3D3AF036C64A0148D7182FAFE0AB5ACB","74371E7B6B1CABF677D19D618F844819","","2025","5","3",Y,,M10000186,"2025-09-25 15:20:24",,
LC10692025601B047,LC1069,M10000212,"60C7A97E5E48B59E19E459BB73FD836E","66A861B64724D22FC81965F26DEF2386","","2025","6","1",Y,,M10000186,"2025-09-25 15:20:24",,
LC106920256024E4E,LC1069,"",F2D3A1FA9EA532B2507865089112C95D,C09A06C7FE8DAC954DA07652A3CF350B,"","2025","6","2",Y,,M10000186,"2025-09-25 15:20:24",,
LC106920256034F62,LC1069,"","592104A7561EC060EAA248AA12BDE055",FC9DEBB148909F0D9343A5B40BE742E9,"","2025","6","3",Y,,M10000186,"2025-09-25 15:20:24",,
M10000001202510109E2,PERSONAL,M10000001,,,학지초등학교1학년1반,"2025","1","1",Y,,M10000001,"2025-09-18 10:40:36",,
M10000001202511340C0,PERSONAL,M10000001,,,학지초등학교1학년13반,"2025","1","13",Y,,M10000001,"2025-09-24 11:36:30",,
M100000012025201444F,PERSONAL,M10000001,,,학지초등학교2학년1반,"2025","2","1",Y,,M10000001,"2025-09-18 10:39:42",,
M1000000120253017C9D,PERSONAL,M10000001,,,학지초등학교3학년1반,"2025","3","1",Y,,M10000001,"2025-07-04 01:29:56",,
M1000000120253101C28,PERSONAL,M10000001,,,학지초등학교3학년10반,"2025","3","10",Y,,M10000001,"2025-09-23 14:55:27",,
M1000000120254136C27,PERSONAL,M10000001,,,학지초등학교4학년13반,"2025","4","13",Y,,M10000001,"2025-09-24 12:01:06",,
M100000012025601DA5B,PERSONAL,M10000001,,,학지초등학교6학년1반,"2025","6","1",Y,,M10000001,"2025-07-30 16:58:39",,
M10000001202561001C8,PERSONAL,M10000001,,,학지초등학교6학년10반,"2025","6","10",Y,,M10000001,"2025-09-23 17:05:23",,
M100000072025101404F,PERSONAL,M10000007,,,학지초등학교1학년1반,"2025","1","1",Y,,M10000007,"2025-09-18 10:40:13",,
M100000072025201DF84,PERSONAL,M10000007,,,학지초등학교2학년1반,"2025","2","1",Y,,M10000007,"2025-09-18 10:55:45",,
M100000072025301BC81,PERSONAL,M10000007,,,"","2025","3","1",Y,,M10000007,"2025-07-24 11:18:59",,
M1000000720254057B7C,PERSONAL,M10000007,,,학지초등학교4학년5반,"2025","4","5",Y,,M10000007,"2025-09-18 10:56:05",,
M10000007202550150E7,PERSONAL,M10000007,,,학지초등학교5학년1반,"2025","5","1",Y,,M10000007,"2025-07-24 11:26:23",,
M100000072025602C8B8,PERSONAL,M10000007,,,학지초등학교6학년2반,"2025","6","2",Y,,M10000007,"2025-09-18 10:58:50",,
M1000005520256019C95,PERSONAL,M10000055,,,"6학년2반","2025","6","1",Y,,M10000055,"2025-07-11 01:31:51",M10000055,"2025-09-22 10:59:45"
M1000006320255020B29,PERSONAL,M10000063,,,백산초등학교5학년2반,"2025","5","2",Y,,M10000063,"2025-07-14 07:57:25",,
M100000642025301E27F,PERSONAL,M10000064,,,하원초등학교3학년1반,"2025","3","1",Y,,M10000064,"2025-07-14 10:59:35",,
M100000682025602CF1C,PERSONAL,M10000068,,,하원초등학교6학년2반,"2025","6","2",Y,,M10000068,"2025-07-16 09:06:35",,
M100000692025301F737,PERSONAL,M10000069,,,하원초등학교3학년1반,"2025","3","1",Y,,M10000069,"2025-07-16 09:06:39",,
M1000007020254026414,PERSONAL,M10000070,,,하원초등학교4학년2반,"2025","4","2",Y,,M10000070,"2025-07-16 09:15:06",,
M1000007120255028D7A,PERSONAL,M10000071,,,하원초등학교5학년2반,"2025","5","2",Y,,M10000071,"2025-07-16 09:16:14",,
M1000007220254035C68,PERSONAL,M10000072,,,하원초등학교4학년3반,"2025","4","3",Y,,M10000072,"2025-07-16 09:19:22",,
M100000732025501D3CA,PERSONAL,M10000073,,,하원초등학교5학년1반,"2025","5","1",Y,,M10000073,"2025-07-16 09:44:07",,
M10000086202560261A9,PERSONAL,M10000086,,,목포부주초등학교6학년2반,"2025","6","2",Y,,M10000086,"2025-07-21 10:57:24",,
M1000008720256056A20,PERSONAL,M10000087,,,목포부주초등학교6학년5반,"2025","6","5",Y,,M10000087,"2025-07-21 11:24:06",,
M1000008820256034F56,PERSONAL,M10000088,,,목포부주초등학교6학년3반,"2025","6","3",Y,,M10000088,"2025-07-21 11:35:52",,
M1000008920256022156,PERSONAL,M10000089,,,목포부주초등학교6학년2반,"2025","6","2",Y,,M10000089,"2025-07-22 08:52:47",,
M100000902025602F30D,PERSONAL,M10000090,,,목포부주초등학교6학년2반,"2025","6","2",Y,,M10000090,"2025-07-22 13:30:16",,
M10000091202560142A0,PERSONAL,M10000091,,,목포부주초등학교6학년1반,"2025","6","1",Y,,M10000091,"2025-07-22 10:56:04",,
M10000092202530442E7,PERSONAL,M10000092,,,백산초등학교3학년4반,"2025","3","4",Y,,M10000092,"2025-07-22 15:30:02",,
M100000932025602D4F3,PERSONAL,M10000093,,,백산초등학교6학년2반,"2025","6","2",Y,,M10000093,"2025-07-22 15:56:01",,
M1000011820251014329,PERSONAL,M10000118,,,학지초등학교1학년1반,"2025","1","1",Y,,M10000118,"2025-09-18 11:24:43",,
M100001182025301662D,PERSONAL,M10000118,,,학지초등학교3학년1반,"2025","3","1",Y,,M10000118,"2025-09-18 11:34:36",,
M100001742025502FAF5,PERSONAL,M10000174,,,Shuffle to Learn School B5학년2반,"2025","5","2",Y,,M10000174,"2025-09-22 16:06:18",,
M100001782025602859B,PERSONAL,M10000178,,,Shuffle to Learn School A6학년2반,"2025","6","2",Y,,M10000178,"2025-09-29 22:57:31",,
M10000184202550292B8,PERSONAL,M10000184,,,신금초등학교5학년2반,"2025","5","2",Y,,M10000184,"2025-09-19 11:23:12",,
M1000018520256054D05,PERSONAL,M10000185,,,신금초등학교6학년5반,"2025","6","5",Y,,M10000185,"2025-09-19 11:43:18",,
M1000018820256011403,PERSONAL,M10000188,,,대천중학교 2학년 7반,"2025","6","1",Y,,M10000188,"2025-09-21 23:23:56",M10000188,"2025-09-21 23:25:17"
M100001892025501303A,PERSONAL,M10000189,,,신금초등학교5학년1반,"2025","5","1",Y,,M10000189,"2025-09-22 08:14:57",,
M1000019020256036DDF,PERSONAL,M10000190,,,부천남초등학교6학년3반,"2025","6","3",Y,,M10000190,"2025-09-22 08:40:44",,
M100001912025403D5C9,PERSONAL,M10000191,,,세종초등학교4학년3반,"2025","4","3",Y,,M10000191,"2025-09-22 08:42:14",,
M100001922025601C2D1,PERSONAL,M10000192,,,Shuffle to Learn School A6학년1반,"2025","6","1",Y,,M10000192,"2025-09-22 17:21:10",,
M1000019720253013DA1,PERSONAL,M10000197,,,부산해빛초등학교3학년1반,"2025","3","1",Y,,M10000197,"2025-09-23 14:48:44",,
M100001972025601A525,PERSONAL,M10000197,,,부산해빛초등학교6학년1반,"2025","6","1",Y,,M10000197,"2025-09-23 14:46:34",,
M10000197202560231D7,PERSONAL,M10000197,,,부산해빛초등학교6학년2반,"2025","6","2",Y,,M10000197,"2025-09-23 14:46:45",,
M100001972025603C44D,PERSONAL,M10000197,,,부산해빛초등학교6학년3반,"2025","6","3",Y,,M10000197,"2025-09-23 14:46:57",,
M1000019720256046EF9,PERSONAL,M10000197,,,부산해빛초등학교6학년4반,"2025","6","4",Y,,M10000197,"2025-09-23 14:47:09",,
M100001972025605DB9F,PERSONAL,M10000197,,,부산해빛초등학교6학년5반,"2025","6","5",Y,,M10000197,"2025-09-23 14:48:17",,
M1000019820255011DA8,PERSONAL,M10000198,,,삼양초등학교5학년1반,"2025","5","1",Y,,M10000198,"2025-09-23 08:50:26",,
M1000019920254052040,PERSONAL,M10000199,,,부산해빛초등학교4학년5반,"2025","4","5",Y,,M10000199,"2025-09-23 14:29:23",,
M10000200202560504CB,PERSONAL,M10000200,,,부산해빛초등학교6학년5반,"2025","6","5",Y,,M10000200,"2025-09-23 16:03:59",,
M100002062025401DC72,PERSONAL,M10000206,,,세종초등학교4학년1반,"2025","4","1",Y,,M10000206,"2025-09-23 14:47:30",,
M100002072025401865F,PERSONAL,M10000207,,,대구용전초등학교4학년1반,"2025","4","1",Y,,M10000207,"2025-09-23 15:39:33",M10000207,"2025-09-30 08:46:54"
M1000020720254020CB5,PERSONAL,M10000207,,,대구용전초등학교4학년2반,"2025","4","2",Y,,M10000207,"2025-09-23 15:39:17",,
M100002082025412A068,PERSONAL,M10000208,,,용아초등학교4학년12반,"2025","4","12",Y,,M10000208,"2025-09-24 13:06:03",,
M100002102025605B543,PERSONAL,M10000210,,,명일초등학교6학년5반,"2025","6","5",Y,,M10000210,"2025-09-24 19:45:44",,
M1000021320252038A86,PERSONAL,M10000213,,,부천남초등학교2학년3반,"2025","2","3",Y,,M10000213,"2025-09-25 16:20:38",,
M1000021520254044918,PERSONAL,M10000215,,,상당초등학교4학년4반,"2025","4","4",Y,,M10000215,"2025-09-26 08:44:08",,
M1000021620255021708,PERSONAL,M10000216,,,장유초등학교5학년2반,"2025","5","2",Y,,M10000216,"2025-09-26 10:00:19",,
M100002172025505A996,PERSONAL,M10000217,,,호치민시한국국제학교(초)5학년5반,"2025","5","5",Y,,M10000217,"2025-09-26 10:50:10",,
M100002182025501D6B4,PERSONAL,M10000218,,,장유초등학교5학년1반,"2025","5","1",Y,,M10000218,"2025-09-26 11:54:54",,
M100002192025501805B,PERSONAL,M10000219,,,서울서이초등학교5학년1반,"2025","5","1",Y,,M10000219,"2025-09-26 12:46:53",,
M1000022020255078839,PERSONAL,M10000220,,,서울서이초등학교5학년7반,"2025","5","7",Y,,M10000220,"2025-09-26 12:40:19",,
M1000022620255058B20,PERSONAL,M10000226,,,서울서이초등학교5학년5반,"2025","5","5",Y,,M10000226,"2025-09-29 09:13:15",,
M10000227202560311ED,PERSONAL,M10000227,,,완월초등학교6학년3반,"2025","6","3",Y,,M10000227,"2025-09-29 09:38:24",,
M100002302025501C2DA,PERSONAL,M10000230,,,호치민시한국국제학교(초)5학년1반,"2025","5","1",Y,,M10000230,"2025-09-29 18:31:45",,
TC0461202560112DA,TC0461,M10000091,,,"6학년1반","2025","6","1",Y,,M10000077,"2025-07-24 09:41:25",,
TC0461202560248A7,TC0461,M10000086,,,"6학년2반","2025","6","2",Y,,M10000077,"2025-07-21 14:33:15",,
TC04612025603AB35,TC0461,M10000088,,,"6학년3반","2025","6","3",Y,,M10000077,"2025-07-21 14:32:38",,
TC04612025605987B,TC0461,M10000087,,,"6학년5반","2025","6","5",Y,,M10000077,"2025-07-21 14:32:52",,
TC046120256065914,TC0461,M10000090,,,"6학년6반","2025","6","6",Y,,M10000077,"2025-07-24 09:41:07",,
TC046120256076567,TC0461,M10000089,,,"6학년7반","2025","6","7",Y,,M10000077,"2025-07-21 14:33:41",,
TEST0A2025301EA94,TEST0A,M10000062,E11CC5DE85DE9421EEE025ADA4C66AC3,"415DE6E037FE49DDA4F654C3143B0148","","2025","3","1",Y,,M10000055,"2025-09-22 15:13:31",,
TEST0A2025601BAA7,TEST0A,M10000192,"71422D46581FCFD99114771C97D08D57","414688AF5A6C4DF6CFBAED631AA6112B","","2025","6","1",Y,,M10000055,"2025-09-22 17:29:26",,
